comments,url,address,zipCode,propertyCost,forSale,leaseEndsOn,lotSize,cashOnCash,initialInvestment,year,downPayment,annualizedReturnIn5Years,schoolRatings,roofstockRatingStars,nicheRating,nicheAreaFeel,nicheRentPercent,nicheOwnPercent,nicheMedianRent,nicheMedianHomeValue,nichePopulation,zillowEstimatedValue,"zillowRentEstimatePerMonth",zillowOwnerDescription,"zillowMedianNeighborHoodHomeValue",zillowLastSoldFor,zillowLastSoldOn
,"https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/253-dove-park-rd-columbia-29223/1749065","253 Dove Park Rd Columbia SC 29223",29223,"$159,924 ","For Sale",11/30/20,"12,830","-2.10%","$39,017 ",2001,"20%","6.90%","5 | 4 | 7",4.5,A,"Dense Suburban","45%","55%","$976 ","$145,600 ","50,870",,,,,,
,"https://www.roofstock.com/investment-property-details/dallas-texas/2600-glen-haven-ct-prosper-75078/1779354","2600 Glen Haven Ct Prosper TX 75078",75078,"$489,900 ","For Sale",Vacant,"11,160","-8.20%","$109,248 ",2006,"20%","8.50%","9 | 9 | 8",5,A,Rural,"12%","88%","$1,506 ","$435,300 ","23,580",,,,,,
,"https://www.roofstock.com/investment-property-details/indianapolis-indiana/10430-apple-creek-way-indianapolis-46235/1743665","10430 Apple Creek Way Indianapolis IN 46235",46235,"$144,500","For Sale",03/31/2021,"4,835","-0.2%","$37,742",2005,"20%","3.0%","3 | 3 | 5",2.5,B-,"Dense Suburban","54%","46%","$722","$104,900","32,327",,,,,,
,"https://www.roofstock.com/investment-property-details/houston-texas/7658-belbay-st-houston-77033/1738140","7658 Belbay St Houston TX 77033",77033,"$170,000 ","For Sale",4/27/21,"12,197","1.50%","$37,910 ",1955,"20%","18.00%","3 | 2 | 5",2,B,"Sparse Suburban","38%","62%","$897 ","$64,100 ","29,903",,,,,,
,"https://www.roofstock.com/investment-property-details/dallas-texas/9901-fox-hill-dr-fort-worth-76131/1779392","9901 Fox Hill Dr Fort Worth TX 76131",76131,"$319,900 ","For Sale",Vacant,"7,230","-3.80%","$71,338 ",2008,"20%","12.10%","5 | 7 | 6",4.5,A-,"Sparse Suburban","28%","72%","$1,456 ","$173,000 ","40,463",,,,,,
"Roof breaking property taxes(36%) in Columbia. Not Selected.","https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/106-water-hickory-way-columbia-29229/1711976","106 Water Hickory Way Columbia SC 29229",29229,"$195,000 ","For Sale",4/18/21,"9,148","-5.90%","$43,485 ",2003,"20%","5.80%","10 | 4 | 4",4.5,A,"Sparse Suburban","30%","70%","$1,217 ","$167,600 ","50,866",,,,,,
,"https://www.roofstock.com/investment-property-details/dallas-texas/2909-oak-tree-dr-plano-75025/1779362","2909 Oak Tree Dr Plano TX 75025",75025,"$368,000 ","For Sale",Vacant,"7,840","-5.10%","$82,064 ",1996,"20%","11.10%","9 | 9 | 9",5,"A+","Dense Suburban","31%","69%","$1,417 ","$328,400 ","53,688",,,,,,
,"https://www.roofstock.com/investment-property-details/augusta-georgia/1018-ossabaw-ct-augusta-30906/1762608","1018 Ossabaw Ct Augusta GA 30906",30906,"$160,500 ","For Sale",12/2/21,"11,761","0.60%","$35,792 ",2002,"20%","12.50%","5 | 3 | 2",3,"C+","Suburban Rural Mix","43%","57%","$875 ","$85,200 ","58,114",,,,,,
"Too high price for my budget. And itï¿½s a little far from Chicago City. Farther than Schamburg.","https://www.roofstock.com/investment-property-details/chicago-illinois/1221-bradley-cir-elgin-60120/1780261","1221 Bradley Cir Elgin IL 60120",60120,"$235,000 ",---,4/30/21,"750,974","-3.30%","$56,800 ",2005,"20%","5.60%","6 | 4 | 2",4,B,"Sparse Suburban","35%","65%","$1,059 ","$165,900 ","50,922",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-indiana/2420-marshalltown-ln-gary-46407/1780502","2420 Marshalltown Ln Gary IN 46407",46407,"$60,000","For Sale",11/30/2020,"5,009","7.8%","$61,904",1956,"100%","8.8%","1 | 1 | 1",1.0,C-,"Sparse Suburban","60%","40%","$703","$50,300","11,345",,,,,,
Review,"https://www.roofstock.com/investment-property-details/arkansas-arkansas/339-graystone-cir-centerton-72719/1721679","339 GRAYSTONE CIR Centerton AR 72719",72719,"$215,000 ","For Sale",3/28/21,"9,148","4.20%","$50,266 ",2005,"20%","15.40%","7 | 7 | 7",4,A,"Sparse Suburban","44%","56%","$1,044 ","$160,100 ","12,144",,,,,,
,"https://www.roofstock.com/investment-property-details/cincinnati-ohio/6418-betts-ave-cincinnati-45224/1705046","6418 Betts Ave Cincinnati OH 45224",45224,"$66,900 ","For Sale",M/M,"2,439","3.90%","$17,598 ",1920,"20%","10.00%","3 | 3 | 3",2.5,"B+","Dense Suburban","40%","60%","$686 ","$115,100 ","21,402",,,,,,
,"https://www.roofstock.com/investment-property-details/north%20%20carolina-north%20carolina/113-10th-st-spencer-28159/1768116","113 10th St Spencer NC 28159",28159,"$115,000 ","For Sale",10/31/20,"8,276","5.10%","$26,127 ",1902,"20%","16.30%","2 | 4 | 2",2.5,B,Rural,"46%","54%","$925 ","$96,700 ","2,908",,,,,,
,"https://www.roofstock.com/investment-property-details/jacksonville-florida/1490-windle-st-jacksonville-32209/1696196","1490 Windle St Jacksonville FL 32209",32209,"$104,500 ","For Sale",7/31/21,"3,440","8.70%","$28,002 ",1926,"20%","18.10%","1 | 7 | 3",1.5,"C+","Sparse Suburban","53%","47%","$768 ","$56,300 ","35,436",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/9034-s-union-ave-chicago-60620/1780648","9034 S Union Ave Chicago IL 60620",60620,"$165,000 ",---,M/M,"3,150","10.10%","$37,070 ",1960,"20%","19.00%","2 | 4 | 4",1.5,C,"Urban Suburban Mix","54%","46%","$889 ","$139,900 ","68,096",,,,,,
,"https://www.roofstock.com/investment-property-details/atlanta-georgia/381-meadow-dr-alpharetta-30009/1779361","381 Meadow Dr Alpharetta GA 30009",30009,"$349,900 ","For Sale",Vacant,"34,412","-9.00%","$78,028 ",1986,"20%","3.50%","8 | 8 | 9",5,"A+","Dense Suburban","40%","60%","$1,389 ","$315,700 ","16,097",,,,,,
,"https://www.roofstock.com/investment-property-details/atlanta-georgia/2010-austin-dr-decatur-30032/1762999","2010 Austin Dr Decatur GA 30032",30032,"$220,000 ","For Sale",1/31/21,"17,424","0.60%","$50,333 ",1954,"20%","11.20%","1 | 3 | 3",2.5,B,"Dense Suburban","55%","45%","$938 ","$107,000 ","49,456",,,,,,
,"https://www.roofstock.com/investment-property-details/memphis-tennessee/808-mohawk-ave-memphis-38109/1742356","808 Mohawk Ave Memphis TN 38109",38109,"$63,000 ","For Sale",1/4/21,"6,900","8.60%","$17,340 ",1962,"20%","13.40%","7 | 4 | 2",2,C,Rural,"39%","61%","$859 ","$68,600 ","44,922",,,,,,
,"https://www.roofstock.com/investment-property-details/oklahoma-oklahoma/3624-huntsman-rd-edmond-73003/1710741","3624 Huntsman Rd Edmond OK 73003",73003,"$290,000 ","For Sale",6/20/20,"13,159","-3.60%","$64,670 ",1999,"20%","11.90%","7 | 10 | 10",5,A,"Sparse Suburban","41%","59%","$1,069 ","$165,100 ","24,147",,,,,,
,"https://www.roofstock.com/investment-property-details/detroit-michigan/26730-clancy-st-roseville-48066/1762732","26730 Clancy St Roseville MI 48066",48066,"$99,500 ","For Sale",M/M,"6,098","6.70%","$26,027 ",1950,"20%","11.40%","2 | 2 | 2",2.5,B-,"Sparse Suburban","37%","63%","$955 ","$79,100 ","47,710",,,,,,
"Little isolated community","https://www.roofstock.com/investment-property-details/alabama-alabama/11518-andrew-way-tuscaloosa-35405/1720153","11518 Andrew Way Tuscaloosa AL 35405",35405,"$204,540","For Sale",07/22/2020,"7,210","6.3%","$46,451",2017,"20%","13.1%",,4.0,A-,"Dense Suburban","43%","57%","$851 ","$169,400 ","45,473",,,,,,
,"https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/120-brent-ford-rd-columbia-29212/1658249","120 Brent Ford Rd Columbia SC 29212",29212,"$169,000 ","For Sale",4/30/20,"16,117","2.10%","$38,067 ",1988,"20%","12.40%","6 | 7 | 3",4,"A+","Dense Suburban","30%","70%","$1,051 ","$168,400 ","29,586",,,,,,
,"https://www.roofstock.com/investment-property-details/atlanta-georgia/3491-fairburn-pl-nw-atlanta-30331/1779135","3491 Fairburn Pl NW Atlanta GA 30331",30331,"$109,900","For Sale",08/31/2021,"10,430","8.0%","$25,583",1962,"20%","17.5%","3 | 1 | 1",1.5,B,"Dense Suburban","50%","50%","$962","$154,300","64,492",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-indiana/1638-myrtle-ave-whiting-46394/1763710","1638 Myrtle Ave Whiting IN 46394",46394,"$135,000 ","For Sale",6/30/21,"6,150","6.40%","$31,441 ",1897,"20%","14.90%","3 | 2 | 2",2.5,B,"Sparse Suburban","37%","63%","$841 ","$120,400 ","12,358",,,,,,
,"https://www.roofstock.com/investment-property-details/new%20jersey-new%20jersey/205-starling-ln-mount-holly-08060/1771247","205 Starling Ln Mount Holly NJ 08060",8060,"$189,000 ","For Sale",3/31/21,"6,000","2.50%","$42,147 ",1950,"20%","16.70%","4 | 3 | 5",3.5,A-,"Sparse Suburban","26%","74%","$1,202 ","$230,400 ","24,364",,,,,,
,"https://www.roofstock.com/investment-property-details/oklahoma-oklahoma/949-ne-30th-st-moore-73160/1710822","949 NE 30th St Moore OK 73160",73160,"$173,030 ","For Sale",1/31/21,"7,405","1.60%","$38,586 ",2006,"20%","16.10%","7 | 8 | 9",4.5,A-,"Sparse Suburban","34%","66%","$985 ","$136,300 ","59,401",,,,,,
,"https://www.roofstock.com/investment-property-details/birmingham-alabama/371-orange-blossom-trl-warrior-35180/1780467","371 Orange Blossom Trl Warrior AL 35180",35180,"$142,500 ","For Sale",Vacant,"26,136","3.00%","$34,089 ",2007,"20%","11.70%","6 | 7 | 8",4,B,"Suburban Rural Mix","14%","86%","$589 ","$139,600 ","14,092",,,,,,
,"https://www.roofstock.com/investment-property-details/indiana-indiana/3101-vine-st-south-bend-46615/1658270","3101 Vine St South Bend IN 46615",46615,"$116,900 ","For Sale",M/M,"5,227","7.40%","$127,517 ",1912,"100%","7.80%","2 | 1 | 1",2.5,A,"Dense Suburban","38%","62%","$770 ","$83,500 ","12,919",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/14244-woodlawn-ave-dolton-60419/1779421","14244 Woodlawn Ave Dolton IL 60419",60419,"$105,000 ","For Sale",2/28/21,"5,002","1.40%","$23,939 ",1957,"20%","11.10%","2 | 2 | 1",2,C-,"Sparse Suburban","34%","66%","$1,185 ","$98,000 ","22,644",,,,,,
,"https://www.roofstock.com/investment-property-details/oklahoma-oklahoma/4608-nw-161st-st-edmond-73013/1710844","4608 NW 161st St Edmond OK 73013",73013,"$222,970 ","For Sale",2/28/21,"8,159","-0.60%","$49,722 ",2005,"20%","14.40%","10 | 9 | 10",5,"A+","Sparse Suburban","21%","79%","$1,159 ","$213,100 ","52,254",,,,,,
,"https://www.roofstock.com/investment-property-details/oklahoma-oklahoma/1812-lancaster-dr-edmond-73012/1710862","1812 Lancaster Dr Edmond OK 73012",73012,"$268,180 ","For Sale",5/31/21,"8,999","1.90%","$59,804 ",1999,"20%","16.40%","10 | 10 | 10",5,"A+",Rural,"18%","82%","$1,608 ","$229,800 ","37,639",,,,,,
,"https://www.roofstock.com/investment-property-details/houston-texas/1002-cheyenne-meadows-dr-katy-77450/1780343","1002 Cheyenne Meadows Dr Katy TX 77450",77450,"$187,000","For Sale",12/31/2020,"8,249","-2.6%","$42,849",1978,"20%","14.1%","6 | 6 | 7",5.0,"A+","Dense Suburban","30%","70%","$1,374","$257,900","73,683",,,,,,
,"https://www.roofstock.com/investment-property-details/jacksonville-florida/1932-kusaie-dr-jacksonville-32246/1762297","1932 Kusaie Dr Jacksonville FL 32246",32246,"$126,900 ","For Sale",3/31/22,"10,822","1.50%","$30,051 ",1962,"20%","14.40%","4 | 5 | 8",3,A-,"Dense Suburban","47%","53%","$1,180 ","$166,200 ","51,275",,,,,,
,"https://www.roofstock.com/investment-property-details/dallas-texas/49-heron-bay-sanger-76266/1779398","49 Heron Bay Sanger TX 76266",76266,"$268,000 ","For Sale",Vacant,"11,456","-2.00%","$59,764 ",2005,"20%","13.50%","3 | 5 | 4",3.5,"B+","Suburban Rural Mix","23%","77%","$1,158 ","$170,100 ","15,695",,,,,,
"Too high price for my budget.","https://www.roofstock.com/investment-property-details/houston-texas/155-pronghorn-pl-montgomery-77316/1752456","155 Pronghorn Pl Montgomery TX 77316",77316,"$385,000 ","For Sale",5/31/21,"9,016","-1.20%","$86,233 ",2009,"20%","15.70%","8 | 6 | 4",5,A-,"Suburban Rural Mix","13%","87%","$1,105 ","$296,400 ","24,199",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/11620-s-aberdeen-st-chicago-60643/1772151","11620 S Aberdeen St Chicago IL 60643",60643,"$105,000 ",---,Vacant,"3,125","16.50%","$24,057 ",1960,"20%","24.50%","3 | 3 | 5",1.5,"B+","Dense Suburban","25%","75%","$1,008 ","$195,200 ","49,870",,,,,,
,"https://www.roofstock.com/investment-property-details/memphis-tennessee/3582-overton-crossing-st-memphis-38127/1751800","3582 Overton Crossing St Memphis TN 38127",38127,"$72,500 ","For Sale",7/31/21,"10,890","11.40%","$17,026 ",1948,"20%","18.80%","2 | 2 | 1",1.5,C,"Sparse Suburban","54%","46%","$886 ","$58,200 ","44,227",,,,,,
,"https://www.roofstock.com/investment-property-details/houston-texas/2819-davenridge-ln-houston-77047/1779394","2819 Davenridge Ln Houston TX 77047",77047,"$215,000 ","For Sale",Vacant,"4,604","-5.00%","$47,945 ",2009,"20%","12.80%","3 | 2 | 2",3,"B+","Sparse Suburban","27%","73%","$1,218 ","$134,300 ","29,693",,,,,,
,"https://www.roofstock.com/investment-property-details/delaware-delaware/611-homestead-rd-wilmington-19805/1779116","611 Homestead Rd Wilmington DE 19805",19805,"$110,000",---,M/M,"3,049","21.0%","$26,952",1962,"20%","30.8%","1 | 5 | 5",2.0,"B+","Dense Suburban","46%","54%","$1,046","$175,100","38,984",,,,,,
,"https://www.roofstock.com/investment-property-details/georgia-georgia/1513-edgechester-ave-columbus-31907/1779946","1513 Edgechester Ave Columbus GA 31907",31907,"$58,000","For Sale",07/31/2021,"9,148","7.4%","$63,763",1959,"100%","7.0%","2 | 1 | 3",2.5,B-,"Sparse Suburban","45%","55%","$884","$110,000","56,663",,,,,,
,"https://www.roofstock.com/investment-property-details/missouri-missouri/685-lexington-park-florissant-63031/1753958","685 Lexington Park Florissant MO 63031",63031,"$125,000 ","For Sale",12/31/20,"7,549","6.60%","$28,396 ",1960,"20%","18.20%","5 | 3 | 2",3.5,A-,"Sparse Suburban","28%","72%","$1,053 ","$101,200 ","47,419",,,,,,
,"https://www.roofstock.com/investment-property-details/birmingham-alabama/904-alford-ave-hoover-35226/1769590","904 Alford Ave Hoover AL 35226",35226,"$199,500 ","For Sale",5/31/21,"14,355","5.10%","$51,874 ",1960,"20%","12.00%","6 | 9 | 10",5,"A+","Sparse Suburban","21%","79%","$1,200 ","$265,200 ","35,542",,,,,,
,"https://www.roofstock.com/investment-property-details/atlanta-georgia/5495-hilltop-pass-fairburn-30213/1781728","5495 Hilltop Pass Fairburn GA 30213",30213,"$185,000 ","For Sale",Vacant,"9,786","4.20%","$41,255 ",2005,"20%","15.00%","4 | 4 | 3",3.5,B,"Sparse Suburban","41%","59%","$1,117 ","$155,300 ","32,729",,,,,,
,"https://www.roofstock.com/investment-property-details/georgia-georgia/1636-edgechester-ave-columbus-31907/1779950","1636 Edgechester Ave Columbus GA 31907",31907,"$60,000","For Sale",08/31/2020,"10,454","7.3%","$64,737",1960,"100%","7.2%","2 | 1 | 3",2.5,B-,"Sparse Suburban","45%","55%","$884","$110,000","56,663",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/3661-178th-st-lansing-60438/1751598","3661 178th St Lansing IL 60438",60438,"$135,000 ","For Sale",M/M,"4,800","2.00%","$30,246 ",1943,"20%","11.90%","5 | 5 | 6",3,B,"Dense Suburban","35%","65%","$1,008 ","$130,100 ","28,960",,,,,,
,"https://www.roofstock.com/investment-property-details/north%20%20carolina-north%20carolina/11515-quiet-pine-ct-charlotte-28273/1768115","11515 Quiet Pine Ct Charlotte NC 28273",28273,"$207,000 ","For Sale",10/31/20,"13,504","1.80%","$47,736 ",1988,"20%","13.20%","6 | 3 | 7",3,A,"Dense Suburban","52%","48%","$1,171 ","$173,900 ","39,483",,,,,,
,"https://www.roofstock.com/investment-property-details/atlanta-georgia/1450-sylvan-cir-ne-brookhaven-30319/1779402","1450 Sylvan Cir NE Brookhaven GA 30319",30319,"$569,900 ","For Sale",Vacant,"8,712","-8.20%","$127,088 ",2001,"20%","4.20%","9 | 6 | 1",5,"A+","Urban Suburban Mix","43%","57%","$1,448 ","$475,700 ","41,839",,,,,,
,"https://www.roofstock.com/investment-property-details/memphis-tennessee/1289-briarwood-rd-memphis-38111/1743032","1289 Briarwood Rd Memphis TN 38111",38111,"$64,640","For Sale",04/20/2020,"8,633","15.5%","$17,930",1954,"20%","20.0%","2 | 3 | 3",2.5,"B+","Dense Suburban","54%","46%","$812","$96,800","43,563",,,,,,
,"https://www.roofstock.com/investment-property-details/missouri-missouri/7006-berkridge-dr-hazelwood-63042/1780696","7006 Berkridge Dr Hazelwood MO 63042",63042,"$95,000",---,08/31/2021,"9,252","10.9%","$21,882",1956,"20%","21.7%","3 | 3 | 3",2.5,A-,"Dense Suburban","47%","53%","$867","$104,500","19,443",,,,,,
,"https://www.roofstock.com/investment-property-details/missouri-missouri/1525-codorniz-ln-fenton-63026/1778609","1525 Codorniz Ln Fenton MO 63026",63026,,,,,,,,,,"6 | 6 | 7",,,,,,,,,,,,,,
,"https://www.roofstock.com/investment-property-details/houston-texas/2220-bastrop-st-houston-77003/1740092","2220 Bastrop St Houston TX 77003",77003,"$285,000 ","For Sale",8/16/20,"1,667","-1.60%","$64,205 ",2006,"20%","15.30%","6 | 6 | 2",2.5,A,Urban,"57%","43%","$1,135 ","$295,700 ","9,876",,,,,,
,"https://www.roofstock.com/investment-property-details/virginia-virginia/2305-ruffin-rd-richmond-23234/1770541","2305 Ruffin Rd Richmond VA 23234",23234,"$98,500","For Sale",03/31/2021,"5,069","6.5%","$23,216",1940,"20%","19.0%","2 | 1 | 1",2.0,B,"Sparse Suburban","44%","56%","$1,020","$162,000","45,201",,,,,,
,"https://www.roofstock.com/investment-property-details/detroit-michigan/18738-woodcrest-st-harper-woods-48225/1762772","18738 Woodcrest St Harper Woods MI 48225",48225,"$85,000 ","For Sale",M/M,"5,576","5.50%","$20,428 ",1949,"20%","11.90%","3 | 2 | 1",1.5,B,"Sparse Suburban","43%","57%","$1,059 ","$75,200 ","14,307",,,,,,
,"https://www.roofstock.com/investment-property-details/cleveland-ohio/3837-e-54th-st-cleveland-44105/1757701","3837 E 54th St Cleveland OH 44105",44105,"$67,000 ","For Sale",3/31/20,"3,500","2.70%","$18,622 ",1910,"20%","5.50%","3 | 3 | 1",1,C,"Sparse Suburban","52%","48%","$735 ","$49,300 ","37,211",,,,,,
,"https://www.roofstock.com/investment-property-details/atlanta-georgia/1961-s-columbia-pl-decatur-30032/1739642","1961 S Columbia Pl Decatur GA 30032",30032,"$194,900 ","For Sale",12/31/20,"13,068","0.90%","$43,600 ",1954,"20%","12.00%","2 | 2 | 3",1.5,B,"Dense Suburban","55%","45%","$938 ","$107,000 ","49,456",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/11421-s-loomis-st-chicago-60643/1761115","11421 S Loomis St Chicago IL 60643",60643,"$178,000 ","For Sale",Vacant,"3,375","1.20%","$43,331 ",1959,"20%","9.20%","3 | 4 | 4",2,"B+","Dense Suburban","25%","75%","$1,008 ","$195,200 ","49,870",,,,,,
,"https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/308-deer-run-rd-elgin-29045/1711973","308 Deer Run Rd Elgin SC 29045",29045,"$162,000 ","For Sale",12/6/20,"16,553","-4.40%","$36,126 ",1997,"20%","6.90%","7 | 4 | 4",4.5,A-,"Suburban Rural Mix","21%","79%","$1,070 ","$154,200 ","25,814",,,,,,
"Roof is not fully inspected and possible need for replacement. Not selected.","https://www.roofstock.com/investment-property-details/atlanta-georgia/150-turman-ave-se-atlanta-30315/1777987","150 Turman Ave SE Atlanta GA 30315",30315,"$249,000 ","For Sale",3/31/21,"9,583","-0.90%","$55,633 ",2006,"20%","10.40%","2 | 2 | 7",2,B-,"Urban Suburban Mix","67%","33%","$817 ","$124,400 ","35,511",,,,,,
,"https://www.roofstock.com/investment-property-details/ohio-ohio/1141-arnold-ave-akron-44305/1753862","1141 Arnold Ave Akron OH 44305",44305,"$53,950","For Sale",02/28/2021,"4,600","9.9%","$16,079",1945,"20%","12.6%","6 | 6 | 10",2.5,B-,,,,,,,,,,,,
,"https://www.roofstock.com/investment-property-details/memphis-tennessee/634-peyton-cir-memphis-38107/1739085","634 Peyton Cir Memphis TN 38107",38107,"$102,500 ","For Sale",10/31/20,"4,039","5.30%","$24,426 ",2005,"20%","12.90%","7 | 4 | 2",2,B-,"Sparse Suburban","56%","44%","$771 ","$88,000 ","16,120",,,,,,
,"https://www.roofstock.com/investment-property-details/memphis-tennessee/4831-royal-run-dr-memphis-38128/1734856","4831 Royal Run Dr Memphis TN 38128",38128,"$102,999 ","For Sale",9/30/15,"5,781","7.60%","$23,920 ",2006,"20%","15.50%","8 | 2 | 2",2.5,"C+","Dense Suburban","57%","43%","$893 ","$83,500 ","45,509",,,,,,
,"https://www.roofstock.com/investment-property-details/san%20antonio-texas/706-larkwood-dr-san-antonio-78209/1779374","706 Larkwood Dr San Antonio TX 78209",78209,"$295,000 ","For Sale",Vacant,"9,243","-8.30%","$65,785 ",1958,"20%","8.10%","6 | 5 | 5",5,"A+","Urban Suburban Mix","43%","57%","$1,096 ","$346,800 ","42,045",,,,,,
,"https://www.roofstock.com/investment-property-details/new%20jersey-new%20jersey/84-w-1st-ave-pine-hill-08021/1684724","84 W 1st Ave Pine Hill NJ 08021",8021,"$112,000 ","For Sale",12/31/20,"7,501","3.90%","$25,476 ",1955,"20%","17.30%","3 | 6 | 2",2.5,B-,"Dense Suburban","48%","52%","$997 ","$146,400 ","44,245",,,,,,
,"https://www.roofstock.com/investment-property-details/kentucky-kentucky/4412-wendy-hills-dr-crestwood-40014/1776022","4412 Wendy Hills Dr Crestwood KY 40014",40014,"$146,000 ","For Sale",8/11/20,"9,148","-1.40%","$33,359 ",1975,"20%","10.30%","7 | 7 | 9",5,A,Rural,"13%","87%","$942 ","$281,900 ","21,609",,,,,,
,"https://www.roofstock.com/investment-property-details/orlando-florida/13733-hawkeye-3b-orlando-32837/1782598","13733 HAWKEYE 3B Orlando FL 32837",32837,"$299,000","For Sale",Vacant,"6,950","-6.5%","$72,177",2001,"20%","8.6%",,4.0,A-,"Dense Suburban","44%","56%","$1,379","$222,100","54,051",,,,,,
,"https://www.roofstock.com/investment-property-details/indiana-indiana/1142-n-elmer-st-south-bend-46628/1657886","1142 N Elmer St South Bend IN 46628",46628,"$56,000 ","For Sale",2/28/21,"5,227","10.20%","$12,983 ",1949,"20%","19.40%","5 | 9 | 1",2,"B+","Sparse Suburban","35%","65%","$797 ","$110,000 ","27,159",,,,,,
,"https://www.roofstock.com/investment-property-details/indianapolis-indiana/4050-byram-ave-indianapolis-46208/1636553","4050 Byram Ave Indianapolis IN 46208",46208,"$98,000 ","For Sale",M/M,"5,001","2.20%","$31,969 ",1972,"20%","1.20%","1 | 1 | 3",3,"B+","Dense Suburban","54%","46%","$785 ","$112,800 ","23,081",,,,,,
