comments,url,address,zipCode,propertyCost,forSale,leaseEndsOn,lotSize,cashOnCash,initialInvestment,year,downPayment,annualizedReturnIn5Years,schoolRatings,roofstockRatingStars,nicheRating,nicheAreaFeel,nicheRentPercent,nicheOwnPercent,nicheMedianRent,nicheMedianHomeValue,nichePopulation,zillowEstimatedValue,"zillowRentEstimatePerMonth",zillowOwnerDescription,"zillowMedianNeighborHoodHomeValue",zillowLastSoldFor,zillowLastSoldOn
,"https://www.roofstock.com/investment-property-details/cleveland-ohio/731-northfield-rd-bedford-44146/1775118","731 Northfield Rd Bedford OH 44146",44146,"$132,000 ","For Sale",6/30/21,"9,500","0.70%","$35,655 ",1926,"20%","3.80%","4 | 6 | 2",3,B,"Urban Suburban Mix","46%","54%","$822 ","$106,200 ","29,223",,,,,,
,"https://www.roofstock.com/investment-property-details/texas-texas/5508-spring-valley-dr-killeen-76542/1760718","5508 Spring Valley Dr Killeen TX 76542",76542,"$199,999 ","For Sale",6/30/20,"11,339","-3.00%","$44,860 ",2008,"20%","8.50%","6 | 6 | 10",4,"B+","Sparse Suburban","44%","56%","$1,040 ","$147,300 ","49,857",,,,,,
,"https://www.roofstock.com/investment-property-details/houston-texas/1806-ridgeway-park-court-houston-77339/1779383","1806 Ridgeway Park Court Houston TX 77339",77339,"$242,000 ","For Sale",Vacant,"8,508","-2.60%","$53,966 ",1997,"20%","14.60%","5 | 7 | 9",4,A,"Dense Suburban","35%","65%","$1,298 ","$182,800 ","41,205",,,,,,
,"https://www.roofstock.com/investment-property-details/san%20antonio-texas/5950-summer-fest-dr-san-antonio-78244/1765154","5950 Summer Fest Dr San Antonio TX 78244",78244,"$164,500 ","For Sale",6/30/21,"6,600","2.80%","$39,433 ",1993,"20%","15.60%","4 | 2 | 10",2.5,"B+",Rural,"30%","70%","$1,219 ","$121,300 ","32,474",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/219-ian-ave-new-lenox-60451/1749470","219 Ian Ave New Lenox IL 60451",60451,"$425,000 ","For Sale",Vacant,"10,890","-3.20%","$101,288 ",2006,"20%","5.80%","7 | 7 | 10",4.5,"B+",Rural,"9%","91%","$1,190 ","$284,000 ","34,945",,,,,,
,"https://www.roofstock.com/investment-property-details/houston-texas/3213-ohio-ave-dickinson-77539/1726835","3213 Ohio Ave Dickinson TX 77539",77539,"$175,000 ","For Sale",3/31/21,"6,555","1.40%","$40,463 ",1979,"20%","17.00%","6 | 6 | 4",3,A-,"Sparse Suburban","28%","72%","$1,006 ","$162,900 ","44,041",,,,,,
,"https://www.roofstock.com/investment-property-details/birmingham-alabama/3768-creek-side-way-trussville-35173/1721452","3768 Creek Side Way Trussville AL 35173",35173,"$345,000 ","For Sale",6/30/20,"22,440","1.80%","$77,600 ",2014,"20%","12.00%","2 | 9 | 9",4,A-,Rural,"10%","90%","$1,102 ","$229,300 ","27,371",,,,,,
,"https://www.roofstock.com/investment-property-details/arkansas-arkansas/321-graystone-cir-%2523-323-centerton-72719/1721676","321 Graystone Cir # 323 Centerton AR 72719",72719,"$214,900",---,11/28/2020,"8,276","5.4%","$48,618",2005,"20%","17.0%","7 | 7 | 7",4.0,A,"Sparse Suburban","44%","56%","$1,044","$160,100","12,144",,,,,,
"Isolated. Only one employer looks like GE. Bit far from major city FortWayne. Not Selected.","https://www.roofstock.com/investment-property-details/indiana-indiana/11117-la-fortuna-way-roanoke-46783/1774941","11117 La Fortuna Way Roanoke IN 46783",46783,"$170,000 ","For Sale",10/31/21,"7,800","-2.80%","$37,910 ",2009,"20%","7.50%","6 | 8 | 9",4.5,"B+",Rural,"8%","92%","$675 ","$175,200 ","6,631",,,,,,
,"https://www.roofstock.com/investment-property-details/north%20carolina-north%20carolina/3517-rittenour-dr-hope-mills-28348/1749086","3517 Rittenour Dr Hope Mills NC 28348",28348,"$138,927 ","For Sale",M/M,"11,761","-0.10%","$35,142 ",1995,"20%","8.00%","4 | 4 | 3",3,"B+","Suburban Rural Mix","31%","69%","$900 ","$143,500 ","35,673",,,,,,
,"https://www.roofstock.com/investment-property-details/tennessee-tennessee/5541-prada-dr-brentwood-37027/1780459","5541 Prada Dr Brentwood TN 37027",37027,"$300,000",---,06/30/2021,871,"-3.4%","$67,023",2015,"20%","13.5%","6 | 4 | 2",4.0,"A+","Sparse Suburban","15%","85%","$1,438","$552,400","55,130",,,,,,
,"https://www.roofstock.com/investment-property-details/augusta-south%20carolina/2007-prince-william-dr-north-augusta-29841/1749066","2007 Prince William Dr North Augusta SC 29841",29841,"$222,500 ",,4/30/20,"60,984","1.70%","$52,171 ",1975,"20%","12.40%","5 | 7 | 7",,A-,"Sparse Suburban","36%","64%","$777 ","$140,500 ","32,470",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-indiana/2400-johnson-st-gary-46407/1780176","2400 Johnson St Gary IN 46407",46407,,,,,,,,,,"3 | 3 | 1",,,,,,,,,,,,,,
"Too high price for my budget.","https://www.roofstock.com/investment-property-details/oklahoma-oklahoma/2432-nw-177th-st-edmond-73012/1710802","2432 NW 177th St Edmond OK 73012",73012,"$287,320 ","For Sale",3/31/22,"8,999","-1.60%","$64,072 ",2012,"20%","13.50%","8 | 9 | 10",5,"A+",Rural,"18%","82%","$1,608 ","$229,800 ","37,639",,,,,,
,"https://www.roofstock.com/investment-property-details/cleveland-ohio/3000-yorkshire-rd-cleveland-heights-44118/1751801","3000 Yorkshire Rd Cleveland Heights OH 44118",44118,"$184,500 ","For Sale",4/30/21,"6,500","-2.60%","$42,178 ",1923,"20%","4.10%","4 | 4 | 7",4.5,A,"Dense Suburban","41%","59%","$951 ","$147,800 ","38,833",,,,,,
"Roof breaking property taxes(35%) in Lexington. Not Selected.","https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/125-linden-way-lexington-29072/1711961","125 Linden Way Lexington SC 29072",29072,"$195,000 ","For Sale",1/27/21,"31,799","-4.30%","$43,485 ",1999,"20%","7.10%","9 | 7 | 7",5,"A+","Sparse Suburban","20%","80%","$1,070 ","$217,600 ","60,081",,,,,,
,"https://www.roofstock.com/investment-property-details/houston-texas/2006-glen-burrow-ct-katy-77494/1779371","2006 Glen Burrow Ct Katy TX 77494",77494,"$415,000 ","For Sale",Vacant,"12,948","-8.10%","$92,545 ",2006,"20%","10.40%","9 | 10 | 9",5,"A+","Sparse Suburban","22%","78%","$1,620 ","$343,000 ","114,989",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/449-buffalo-ave-calumet-city-60409/1775896","449 Buffalo Ave Calumet City IL 60409",60409,"$85,000 ","For Sale",2/28/21,"5,000","3.60%","$26,045 ",1949,"20%","6.90%","1 | 3 | 4",2.5,"C+","Dense Suburban","46%","54%","$955 ","$103,800 ","36,955",,,,,,
,"https://www.roofstock.com/investment-property-details/southwest%20florida-florida/2527-ne-6th-pl-cape-coral-33909/1716769","2527 NE 6th Pl Cape Coral FL 33909",33909,"$183,900 ","For Sale",Vacant,"10,000","-3.10%","$41,745 ",2006,"20%","14.00%","7 | 6 | 7",3.5,"B+",Rural,"40%","60%","$1,149 ","$173,400 ","31,467",,,,,,
,"https://www.roofstock.com/investment-property-details/augusta-georgia/2072-summerton-cir-evans-30809/1762605","2072 Summerton Cir Evans GA 30809",30809,"$187,500",---,07/15/2021,"7,447","3.3%","$41,813",2004,"20%","14.8%","8 | 8 | 8",5.0,A,Rural,"16%","84%","$1,390","$249,000","45,542",,,,,,
,"https://www.roofstock.com/investment-property-details/orlando-florida/523-delido-way-kissimmee-34758/1782550","523 Delido Way Kissimmee FL 34758",34758,"$228,500","For Sale",Vacant,"7,754","-9.5%","$55,956",2001,"20%","5.7%","4 | 10 | 10",3.0,B-,Rural,"31%","69%","$1,207","$164,200","41,094",,,,,,
,"https://www.roofstock.com/investment-property-details/north%20%20carolina-north%20carolina/1432-downs-ave-charlotte-28205/1755805","1432 Downs Ave Charlotte NC 28205",28205,"$275,000 ","For Sale",Vacant,"4,792","-5.90%","$61,575 ",1952,"20%","7.30%","6 | 2 | 4",2.5,A,"Dense Suburban","58%","42%","$923 ","$221,100 ","48,539",,,,,,
,"https://www.roofstock.com/investment-property-details/memphis-tennessee/3026-dearing-rd-memphis-38118/1776134","3026 Dearing Rd Memphis TN 38118",38118,"$84,250 ","For Sale",6/30/22,"8,160","10.10%","$19,343 ",1958,"20%","18.10%","4 | 2 | 2",1.5,"C+","Sparse Suburban","54%","46%","$890 ","$71,200 ","38,664",,,,,,
,"https://www.roofstock.com/investment-property-details/birmingham-alabama/6931-brittany-ln-pinson-35126/1782831","6931 Brittany Ln Pinson AL 35126",35126,"$149,900","For Sale",Vacant,"7,540","9.6%","$34,428",1996,"20%","18.5%","4 | 3 | 7",4.0,B-,Rural,"16%","84%","$978","$145,600","20,825",,,,,,
,"https://www.roofstock.com/investment-property-details/dallas-texas/1408-tartan-dr-allen-75013/1779363","1408 Tartan Dr Allen TX 75013",75013,"$339,900 ","For Sale",Vacant,"7,405","-6.10%","$75,798 ",2000,"20%","10.20%","10 | 9 | 8",5,"A+","Dense Suburban","26%","74%","$1,416 ","$395,700 ","40,675",,,,,,
,"https://www.roofstock.com/investment-property-details/mississippi-mississippi/245-shady-pine-ln-jackson-39204/1760931","245 Shady Pine Ln Jackson MS 39204",39204,"$60,000 ","For Sale",11/7/20,"12,986","6.60%","$62,187 ",1955,"100%","8.30%","2 | 9 | 3",2,C,"Dense Suburban","61%","39%","$743 ","$70,600 ","17,603",,,,,,
,"https://www.roofstock.com/investment-property-details/orlando-florida/238-genoa-kissimmee-34758/1782535","238 GENOA Kissimmee FL 34758",34758,"$229,900","For Sale",Vacant,"9,496","-3.6%","$51,268",2005,"20%","12.9%",,2.5,B-,Rural,"31%","69%","$1,207 ","$164,200 ","41,094",,,,,,
,"https://www.roofstock.com/investment-property-details/atlanta-georgia/5663-saint-thomas-dr-lithonia-30058/1759257","5663 Saint Thomas Dr Lithonia GA 30058",30058,"$138,000 ","For Sale",7/31/20,"13,068","1.60%","$33,177 ",1985,"20%","11.00%","2 | 4 | 3",3,B,"Sparse Suburban","43%","57%","$1,104 ","$117,300 ","57,658",,,,,,
,"https://www.roofstock.com/investment-property-details/oklahoma-oklahoma/1712-nw-174th-st-edmond-73012/1710754","1712 NW 174th St Edmond OK 73012",73012,"$180,070 ","For Sale",10/31/20,"8,398","1.20%","$40,156 ",1997,"20%","15.80%","8 | 9 | 10",5,"A+",Rural,"18%","82%","$1,608 ","$229,800 ","37,639",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/11514-s-laflin-st-chicago-60643/1780649","11514 S Laflin St Chicago IL 60643",60643,"$155,000","For Sale",M/M,"3,750","15.8%","$35,008",1959,"20%","24.1%","3 | 3 | 5",1.5,"B+","Dense Suburban","25%","75%","$1,008","$195,200","49,870",,,,,,
,"https://www.roofstock.com/investment-property-details/detroit-michigan/13781-grandeur-ave-shelby-twp-48315/1738568","13781 Grandeur Ave Shelby Twp MI 48315",48315,"$309,900 ",,4/5/20,"1,742","2.70%","$71,558 ",2014,"20%","9.90%","9 | 8 | 8",,"B+","Sparse Suburban","14%","86%","$1,092 ","$262,500 ","27,154",,,,,,
,"https://www.roofstock.com/investment-property-details/atlanta-georgia/1095-charleston-trce-roswell-30075/1779360","1095 Charleston Trce Roswell GA 30075",30075,"$454,900 ","For Sale",Vacant,"34,573","-4.20%","$101,443 ",1998,"20%","7.60%","9 | 8 | 8",5,"A+","Sparse Suburban","19%","81%","$1,333 ","$388,500 ","53,328",,,,,,
,"https://www.roofstock.com/investment-property-details/oklahoma-oklahoma/16721-farmington-way-edmond-73012/1710782","16721 Farmington Way Edmond OK 73012",73012,"$217,580 ","For Sale",10/31/20,"6,033","-3.40%","$48,520 ",2000,"20%","12.10%","8 | 9 | 10",5,"A+",Rural,"18%","82%","$1,608 ","$229,800 ","37,639",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/9229-s-university-ave-chicago-60619/1777241","9229 S University Ave Chicago IL 60619",60619,"$119,990 ","For Sale",M/M,"3,100","6.90%","$27,747 ",1906,"20%","15.50%","2 | 4 | 4",1,C,"Urban Suburban Mix","59%","41%","$877 ","$156,100 ","61,258",,,,,,
,"https://www.roofstock.com/investment-property-details/san%20antonio-texas/15423-perch-ledge-san-antonio-78253/1779396","15423 Perch Ledge San Antonio TX 78253",78253,"$229,900 ",,Vacant,"5,853","-5.90%","$51,268 ",2007,"20%","10.10%",,,A,Rural,"19%","81%","$1,381 ","$234,900 ","44,036",,,,,,
,"https://www.roofstock.com/investment-property-details/virginia-virginia/6100-coniston-ave-richmond-23225/1770534","6100 Coniston Ave Richmond VA 23225",23225,"$127,500 ","For Sale",2/28/21,"12,000","1.40%","$28,755 ",1956,"20%","15.60%","2 | 2 | 1",2.5,A-,"Dense Suburban","56%","44%","$974 ","$204,500 ","42,960",,,,,,
,"https://www.roofstock.com/investment-property-details/oklahoma-oklahoma/605-sw-156th-st-oklahoma-city-73170/1710835","605 SW 156th St Oklahoma City OK 73170",73170,"$174,940 ","For Sale",1/31/21,"6,534","0.50%","$39,012 ",2002,"20%","15.20%","10 | 10 | 9",5,A,"Sparse Suburban","20%","80%","$1,271 ","$193,600 ","37,699",,,,,,
,"https://www.roofstock.com/investment-property-details/indiana-indiana/11023-constantia-cv-roanoke-46783/1740103","11023 Constantia Cv Roanoke IN 46783",46783,"$184,900 ","For Sale",11/30/20,"7,392","-0.40%","$41,503 ",2010,"20%","9.50%","6 | 8 | 9",4.5,"B+",Rural,"8%","92%","$675 ","$175,200 ","6,631",,,,,,
,"https://www.roofstock.com/investment-property-details/houston-texas/1014-oxborough-dr-katy-77450/1749784","1014 Oxborough Dr Katy TX 77450",77450,"$235,000 ","For Sale",9/30/20,"7,482","-1.90%","$53,580 ",1979,"20%","14.70%","7 | 8 | 9",5,"A+","Dense Suburban","30%","70%","$1,374 ","$257,900 ","73,683",,,,,,
,"https://www.roofstock.com/investment-property-details/missouri-missouri/175-saint-daniel-ln-florissant-63031/1758131","175 Saint Daniel Ln Florissant MO 63031",63031,"$99,000 ","For Sale",Vacant,"7,741","9.00%","$23,854 ",1954,"20%","19.10%","2 | 2 | 2",3,A-,"Sparse Suburban","28%","72%","$1,053 ","$101,200 ","47,419",,,,,,
,"https://www.roofstock.com/investment-property-details/arkansas-arkansas/1203-e-42nd-ave-pine-bluff-71601/1776214","1203 E 42nd Ave Pine Bluff AR 71601",71601,"$175,000 ","For Sale",11/1/20,"19,600","9.50%","$39,503 ",1988,"20%","21.70%","1 | 1 | 1",1.5,C,"Sparse Suburban","49%","51%","$645 ","$58,600 ","14,696",,,,,,
,"https://www.roofstock.com/investment-property-details/atlanta-georgia/1325-water-view-ln-suwanee-30024/1779346","1325 Water View Ln Suwanee GA 30024",30024,"$494,900 ",,Vacant,"20,473","-4.50%","$110,363 ",2001,"20%","7.30%","9 | 10 | 9",,"A+",Rural,"14%","86%","$1,561 ","$327,500 ","77,334",,,,,,
,"https://www.roofstock.com/investment-property-details/orlando-florida/332-colony-ct-kissimmee-34758/1782556","332 Colony Ct Kissimmee FL 34758",34758,"$184,900","For Sale",Vacant,"11,674","-0.2%","$46,733",1990,"20%","12.7%","2 | 10 | 10",2.5,B-,Rural,"31%","69%","$1,207","$164,200","41,094",,,,,,
,"https://www.roofstock.com/investment-property-details/memphis-tennessee/961-n-highland-st-memphis-38122/1737487","961 N Highland St Memphis TN 38122",38122,"$88,900 ","For Sale",8/29/20,"7,590","8.10%","$92,505 ",1967,"100%","8.90%","3 | 3 | 2",1.5,"B+","Sparse Suburban","49%","51%","$905 ","$71,000 ","24,695",,,,,,
,"https://www.roofstock.com/investment-property-details/north%20carolina-north%20carolina/1405-keswick-dr-fayetteville-28304/1736928","1405 Keswick Dr Fayetteville NC 28304",28304,"$94,000 ","For Sale",11/24/20,"15,246","1.10%","$24,274 ",1963,"20%","8.60%","5 | 2 | 2",3,A-,"Sparse Suburban","45%","55%","$972 ","$113,800 ","36,404",,,,,,
,"https://www.roofstock.com/investment-property-details/kansas-kansas/1825-e-gary-st-park-city-67219/1777324","1825 E Gary St Park City KS 67219",67219,"$92,500 ","For Sale",M/M,"7,405","4.40%","$20,628 ",1960,"20%","17.60%","5 | 2 | 1",3.5,"B+",Rural,"32%","68%","$918 ","$103,500 ","13,398",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-indiana/5221-e-142nd-pl-leroy-46307/1775899","5221 E 142nd pl Leroy IN 46307",46307,"$125,000 ","For Sale",M/M,"7,616","4.50%","$33,330 ",1902,"20%","10.40%","9 | 7 | 9",4.5,A-,"Sparse Suburban","16%","84%","$1,006 ","$199,900 ","62,274",,,,,,
,"https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/509-johnson-ave-columbia-29203/1707765","509 Johnson Ave Columbia SC 29203",29203,"$90,000 ","For Sale",3/9/21,"10,398","1.80%","$20,070 ",1957,"20%","12.40%","4 | 2 | 1",3,B-,"Sparse Suburban","53%","47%","$840 ","$93,900 ","39,518",,,,,,
,"https://www.roofstock.com/investment-property-details/dallas-texas/8612-ironwood-dr-irving-75063/1779351","8612 Ironwood Dr Irving TX 75063",75063,"$357,000 ","For Sale",Vacant,"5,001","-5.10%","$79,611 ",1995,"20%","11.00%","2 | 4 | 5",4,"A+","Urban Suburban Mix","60%","40%","$1,212 ","$341,700 ","38,952",,,,,,
,"https://www.roofstock.com/investment-property-details/illinois-illinois/309-plum-st-collinsville-62234/1749440","309 Plum St Collinsville IL 62234",62234,"$175,000 ","For Sale",11/1/20,"9,780","3.30%","$40,965 ",2003,"20%","14.70%","3 | 3 | 4",3,B,"Sparse Suburban","30%","70%","$879 ","$137,800 ","32,426",,,,,,
,"https://www.roofstock.com/investment-property-details/indianapolis-indiana/5436-sonnefield-ct-indianapolis-46224/1734041","5436 Sonnefield Ct Indianapolis IN 46224",46224,"$170,000 ","For Sale",3/31/21,"7,231","2.10%","$38,526 ",2002,"20%","8.30%","3 | 5 | 2",2,"B+","Urban Suburban Mix","66%","34%","$758 ","$105,700 ","37,464",,,,,,
,"https://www.roofstock.com/investment-property-details/oklahoma-oklahoma/1528-nw-182nd-st-edmond-73012/1710753","1528 NW 182nd St Edmond OK 73012",73012,"$198,880 ","For Sale",5/9/20,"7,148","2.10%","$44,350 ",1993,"20%","16.60%","9 | 10 | 10",5,"A+",Rural,"18%","82%","$1,608 ","$229,800 ","37,639",,,,,,
,"https://www.roofstock.com/investment-property-details/indiana-indiana/2516-grand-canyon-corridor-fort-wayne-46808/1774961","2516 Grand Canyon Corridor Fort Wayne IN 46808",46808,"$165,000 ","For Sale",8/31/20,"6,890","1.30%","$36,795 ",2010,"20%","11.40%","4 | 2 | 3",4,B,"Sparse Suburban","44%","56%","$676 ","$82,000 ","19,386",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/21150-sophia-dr-matteson-60443/1640133","21150 Sophia Dr Matteson IL 60443",60443,"$255,000 ","For Sale",6/30/20,"10,044","-3.50%","$56,865 ",2005,"20%","7.30%","6 | 7 | 2",3.5,B,"Sparse Suburban","18%","82%","$1,247 ","$156,400 ","21,554",,,,,,
,"https://www.roofstock.com/investment-property-details/georgia-georgia/289-northstar-dr-columbus-31907/1779968","289 Northstar Dr Columbus GA 31907",31907,"$73,000","For Sale",08/31/2020,"10,454","8.6%","$20,362",1970,"20%","12.5%","2 | 1 | 3",3.0,B-,"Sparse Suburban","45%","55%","$884","$110,000","56,663",,,,,,
,"https://www.roofstock.com/investment-property-details/orlando-florida/1124-cambourne-kissimmee-34758/1782555","1124 CAMBOURNE Kissimmee FL 34758",34758,"$189,000","For Sale",Vacant,"9,583","-4.6%","$47,647",1995,"20%","9.1%",,2.5,B-,Rural,"31%","69%","$1,207 ","$164,200 ","41,094",,,,,,
,"https://www.roofstock.com/investment-property-details/missouri-missouri/3307-n-hanley-rd-saint-louis-63121/1757692","3307 N Hanley Rd Saint Louis MO 63121",63121,"$60,000 ","For Sale",8/31/20,"4,840","7.40%","$63,048 ",1939,"100%","8.90%","1 | 1 | 1",2.5,"C+","Sparse Suburban","47%","53%","$864 ","$74,100 ","24,634",,,,,,
,"https://www.roofstock.com/investment-property-details/orlando-florida/12500-wisconsin-woods-orlando-32824/1782597","12500 WISCONSIN WOODS Orlando FL 32824",32824,"$239,000","For Sale",Vacant,"6,886","-5.0%","$58,797",1986,"20%","9.4%",,3.5,"B+","Sparse Suburban","33%","67%","$1,434","$204,200","46,545",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/702-helmholz-ave-waukegan-60085/1761577","702 Helmholz Ave Waukegan IL 60085",60085,"$155,000","For Sale",03/31/2021,"6,223","8.4%","$157,355",1915,"100%","9.7%","1 | 3 | 1",1.0,B-,"Urban Suburban Mix","59%","41%","$915","$106,000","70,850",,,,,,
,"https://www.roofstock.com/investment-property-details/missouri-missouri/5946-evergreen-blvd-saint-louis-63134/1778614","5946 Evergreen Blvd Saint Louis MO 63134",63134,"$65,000",---,07/31/2022,"5,502","15.0%","$16,122",1955,"20%","24.0%","2 | 2 | 1",1.5,B-,"Sparse Suburban","51%","49%","$990","$66,700","13,525",,,,,,
,"https://www.roofstock.com/investment-property-details/memphis-tennessee/3633-sunrise-st-memphis-38127/1727679","3633 Sunrise St Memphis TN 38127",38127,"$53,000","For Sale",12/31/2020,"14,175","7.5%","$57,257",1952,"100%","7.6%","4 | 2 | 2",1.5,C,"Sparse Suburban","54%","46%","$886","$58,200","44,227",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-indiana/4341-elm-ave-hammond-46327/1775895","4341 Elm Ave Hammond IN 46327",46327,"$85,000 ","For Sale",12/31/20,"4,880","4.00%","$20,852 ",1949,"20%","11.70%","2 | 2 | 2",2.5,B-,"Suburban Rural Mix","37%","63%","$842 ","$82,900 ","11,631",,,,,,
,"https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/306-castleburg-ln-columbia-29229/1711977","306 Castleburg Ln Columbia SC 29229",29229,"$186,500 ","For Sale",6/8/20,"4,792","-8.70%","$41,590 ",2004,"20%","3.40%","4 | 4 | 4",4.5,A,"Sparse Suburban","30%","70%","$1,217 ","$167,600 ","50,866",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/635-charter-st-dekalb-60115/1738409","635 Charter St Dekalb IL 60115",60115,"$175,000 ","For Sale",Vacant,"3,000","1.40%","$40,025 ",1993,"20%","10.80%","2 | 3 | 7",3,"B+","Urban Suburban Mix","60%","40%","$874 ","$157,900 ","45,325",,,,,,
,"https://www.roofstock.com/investment-property-details/san%20antonio-texas/7462-myrtle-trl-san-antonio-78244/1779349","7462 Myrtle Trl San Antonio TX 78244",78244,"$182,000 ","For Sale",Vacant,"6,600","-2.50%","$40,586 ",1988,"20%","12.80%","5 | 4 | 10",3.5,"B+",Rural,"30%","70%","$1,219 ","$121,300 ","32,474",,,,,,
,"https://www.roofstock.com/investment-property-details/atlanta-georgia/309-trailside-dr-dallas-30157/1782178","309 Trailside Dr Dallas GA 30157",30157,"$203,245","For Sale",Vacant,"7,405","5.1%","$45,324",2008,"20%","15.7%",,3.5,"B+",Rural,"22%","78%","$1,101 ","$150,200 ","49,342",,,,,,
,"https://www.roofstock.com/investment-property-details/alabama-alabama/16413-waterbury-ln-moundville-35474/1780704","16413 Waterbury Ln Moundville AL 35474",35474,"$159,900","For Sale",08/31/2020,"3,500","4.3%","$35,780",2017,"20%","11.5%",,4.0,B,"Suburban Rural Mix","18%","82%","$770 ","$126,000 ","6,454",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-indiana/7015-monroe-ave-hammond-46324/1775903","7015 Monroe Ave Hammond IN 46324",46324,"$140,000 ","For Sale",10/31/20,"5,704","1.50%","$31,378 ",1941,"20%","11.40%","4 | 3 | 3",2.5,B,"Sparse Suburban","35%","65%","$943 ","$90,300 ","22,039",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-illinois/8934-s-emerald-ave-chicago-60620/1761945","8934 S Emerald Ave Chicago IL 60620",60620,"$115,000","For Sale",02/28/2021,"6,300","6.6%","$26,573",1915,"20%","15.3%","2 | 4 | 4",1.5,C,"Urban Suburban Mix","54%","46%","$889","$139,900","68,096",,,,,,
,"https://www.roofstock.com/investment-property-details/birmingham-alabama/219-72nd-st-n-birmingham-35206/1770299","219 72nd St N Birmingham AL 35206",35206,"$93,500 ","For Sale",5/31/21,"7,500","6.10%","$24,368 ",1930,"20%","12.90%","2 | 2 | 1",1.5,"C+","Sparse Suburban","49%","51%","$809 ","$78,300 ","17,350",,,,,,
